2020-37713	6 g1
2020-37714	14
2020-37715	10
2020-37716	36 g1
2020-37717	12
2020-37718	10
2020-37719	7
2020-37720	12 g2
2020-37721	3
2020-37722	7
2020-37723	13
2020-37724	17
2020-37725	1
2020-37726	2
2020-37727	1
2020-37728	1
2020-37729	2
2020-37730	2
2020-37731	1
2020-37732	4 g1
2020-37733	4
2020-37734	2
2020-37735	1
2020-37736	1
2020-37737	1
2020-37738	3
2020-37739	2
2020-37740	3
2020-37741	12 g2
2020-37742	1
2020-37743	25
2020-37744	1
2020-37745	1
2020-37746	1
2020-37747	3
2020-37748	2
2020-37749	8
2020-37750	2
2020-37751	1
2020-37752	1
2020-37753	5 g1
2020-37754	1
2020-37755	1
2020-37756	6
2020-37757	2
2020-37758	2
2020-37759	2
2020-37760	13
2020-37761	2
2020-37762	2
2020-37763	3
2020-37764	2
2020-37765	5
2020-37766	2
2020-37767	3
2020-37768	3
2020-37769	9
2020-37770	3
2020-37771	5
2020-37772	4
2020-37773	7
2020-37774	3
2020-37775	4
2020-37776	4
2020-37777	4
2020-37778	61
2020-37779	15
2020-37780	2
2020-37781	7
2020-37782	12
2020-37783	5
2020-37784	8
2020-37785	6
2020-37786	14 g2
2020-37787	17
2020-37788	5
2020-37789	3
2020-37790	28
2020-37791	20
2020-37792	31
2020-37793	7
2020-37794	24
2020-37795	19
2020-37796	21
2020-37797	21
2020-37798	8
2020-37799	6
2020-37800	6
2020-37801	16
2020-37802	16
2020-37803	26
2020-37804	4
2020-37805	3
2020-37806	3
2020-37807	3
2020-37808	2
2020-37809	8
2020-37810	14
2020-37811	12
2020-37812	15
2020-37813	20
2020-37814	15
2020-37815	14
2020-37816	13
2020-37817	8
2020-37818	17
2020-37819	6
2020-37820	8
2020-37821	1
2020-37822	1
2020-37823	1
2020-37824	4
2020-37825	5
2020-37826	5
2020-37827	1
2020-37828	1
2020-37829	1
2020-37830	1
2020-37831	6
2020-37832	1
2020-37833	10
2020-37834	1
2020-37835	1
2020-37836	1
2020-37837	2
2020-37838	1
2020-37839	1
2020-37840	1
2020-37841	1
2020-37842	1
2020-37843	1
2020-37844	1
2020-37845	1
2020-37846	1
2020-37847	5
2020-37848	1
2020-37849	8
2020-37850	5
2020-37851	3
2020-37852	3
2020-37853	12
2020-37854	3
2020-37855	2
2020-37856	3
2020-37857	8
2020-37858	8
2020-37859	14
2020-37860	2
2020-37861	1
2020-37862	4
2020-37863	4
2020-37864	4
2020-37865	11
